CATEGORY_EVENT,COUNTRY_SRC,IP_DST,IP_SRC,PORT_DST,PORT_SRC
Traffic Log,AU,150.137.244.186,1.43.23.233,7547,43689
Traffic Log,KR,150.137.200.215,1.11.179.20,49587,30415
Traffic Log,AU,143.45.218.70,1.43.23.233,7547,43689
Traffic Log,AU,143.45.89.95,1.43.23.233,7547,43689
Traffic Log,AU,155.6.212.71,1.43.79.19,55990,54946
Traffic Log,JP,143.45.210.250,1.21.11.161,20822,53
Traffic Log,MY,155.5.21.205,1.9.69.225,43991,53
Traffic Log,AU,155.5.61.49,1.41.8.145,21578,49545
Traffic Log,AU,143.214.217.148,1.43.23.233,7547,43689
Traffic Log,AU,143.45.207.194,1.41.151.71,7547,13331
Traffic Log,AU,143.212.218.249,1.120.96.123,7547,25111
Traffic Log,MY,150.133.211.100,1.9.44.249,24688,53
Traffic Log,MY,143.213.183.173,1.9.44.249,14169,53
Traffic Log,AU,143.213.134.32,1.43.23.233,7547,23224
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,20274
Traffic Log,MY,150.133.76.55,1.9.108.33,55617,53
Traffic Log,AU,155.5.71.149,1.120.96.123,7547,25111
Traffic Log,AU,155.6.99.30,1.43.23.233,7547,65209
Traffic Log,JP,143.214.28.147,1.21.11.185,39999,53
Traffic Log,MY,155.5.70.68,1.9.126.51,56398,53
Traffic Log,AU,143.213.139.156,1.43.23.233,7547,47109
Traffic Log,KR,143.214.232.230,1.11.54.122,1861,56698
Traffic Log,JP,155.6.97.85,1.21.11.185,63329,53
Traffic Log,MY,143.46.65.192,1.9.51.169,49180,53
Traffic Log,AU,155.5.31.101,1.43.23.233,7547,5489
Traffic Log,AU,143.213.25.79,1.43.23.233,7547,43689
Traffic Log,MY,143.214.155.99,1.9.126.51,6929,53
Traffic Log,MY,143.45.230.50,1.9.108.33,25742,53
Traffic Log,MY,150.137.207.7,1.9.39.42,23579,53
Traffic Log,JP,143.45.232.214,1.21.11.162,26418,53
Traffic Log,MY,143.212.82.58,1.9.126.51,53730,53
Traffic Log,HK,143.213.94.226,1.36.15.4,56972,53
Traffic Log,AU,143.45.116.85,1.41.151.71,7547,13331
Traffic Log,AU,150.137.52.163,1.43.23.233,7547,43689
Traffic Log,MY,141.190.233.36,1.9.24.193,25762,53
Traffic Log,HK,143.213.94.226,1.36.15.4,56972,53
Traffic Log,MY,155.5.103.214,1.9.69.225,64992,53
Traffic Log,AU,155.6.177.105,1.43.23.233,7547,62366
Traffic Log,AU,143.214.67.159,1.41.151.71,7547,13331
Traffic Log,AU,150.137.14.241,1.120.96.193,7547,35622
Traffic Log,AU,143.212.86.73,1.43.23.233,7547,43689
Traffic Log,AU,150.133.149.97,1.41.151.71,7547,13331
Traffic Log,AU,141.190.40.130,1.41.151.71,7547,13331
